target,replace
12032,19968
12033,65372
12034,12289
12035,12494
12036,20057
12037,12301
12038,20108
12039,20128
12040,20154
12041,20799
12042,20837
12043,20843
12044,20866
12045,20886
12046,20907
12047,20960
12048,20981
12049,20992
12050,21147
12051,21241
12052,12498
12053,21274
12054,21304
12055,21313
12056,12488
12057,21353
12058,21378
12059,12512
12060,21448
12061,21475
12062,21475
12063,22303
12064,22763
12065,22786
12066,22794
12067,22805
12068,22823
12069,22899
12070,23376
12071,23424
12072,23544
12073,23567
12074,23588
12075,23608
12076,23662
12077,23665
12078,24027
12079,24037
12080,24049
12081,24062
12082,24178
12083,24186
12084,24191
12085,24308
12086,24318
12087,24331
12088,24339
12089,12520
12090,24417
12091,24435
12092,24515
12093,25096
12094,25144
12095,25163
12096,25903
12097,25908
12098,25991
12099,26007
12100,26020
12101,26041
12102,26080
12103,26085
12104,26352
12105,26376
12106,26408
12107,27424
12108,27490
12109,27513
12110,27571
12111,27595
12112,27604
12113,27611
12114,27663
12115,27668
12116,27700
12117,28779
12118,29226
12119,29238
12120,29243
12121,29247
12122,29255
12123,29273
12124,29275
12125,29356
12126,29572
12127,29577
12128,29916
12129,29926
12130,29976
12131,29983
12132,29992
12133,30000
12134,30091
12135,63
12136,30326
12137,30333
12138,30382
12139,30399
12140,30446
12141,30683
12142,30690
12143,30707
12144,31034
12145,63
12146,31166
12147,31348
12148,31435
12149,31481
12150,31859
12151,31992
12152,32566
12153,32593
12154,32650
12155,32701
12156,32769
12157,32780
12158,32786
12159,32819
12160,32895
12161,32905
12162,33251
12163,33258
12164,33267
12165,33276
12166,33292
12167,33307
12168,33311
12169,33390
12170,33394
12171,33400
12172,34381
12173,34411
12174,34880
12175,34892
12176,34915
12177,35198
12178,35211
12179,35282
12180,35328
12181,35895
12182,35910
12183,35925
12184,35960
12185,35997
12186,36196
12187,36208
12188,36275
12189,36523
12190,36554
12191,36763
12192,36784
12193,63
12194,37009
12195,37193
12196,37318
12197,37324
12198,37329
12199,38263
12200,38272
12201,38428
12202,38582
12203,38585
12204,38632
12205,38737
12206,38750
12207,38754
12208,38761
12209,38859
12210,38893
12211,38899
12212,38913
12213,39080
12214,39131
12215,39135
12216,39318
12217,39321
12218,39340
12219,39592
12220,39640
12221,39647
12222,39717
12223,39727
12224,39730
12225,39740
12226,39770
12227,40165
12228,40565
12229,40575
12230,40613
12231,40635
12232,40644
12233,40653
12234,40658
12235,40697
12236,40701
12237,40718
12238,40723
12239,40736
12240,40763
12241,40778
12242,40786
12243,40845
12244,40860
12245,40864
11905,21378
11906,20886
11907,63
11908,63
11909,12452
11910,20866
11911,20960
11913,63
11914,12488
11915,24051
11916,12483
11917,12483
11918,20800
11919,63
11920,23586
11922,24051
11923,24186
11924,24401
11925,8707
11926,63
11928,63
11929,25909
11931,26081
11933,26376
11935,27597
11936,27665
11937,63
11938,27700
11939,63
11941,63
11944,63
11945,29579
11946,30091
11947,63
11948,31034
11949,12493
11954,63
11956,63
11964,26376
11965,33276
11969,34382
11970,63
11972,35199
11973,63
11974,35282
11977,63
11983,63
11985,38263
11986,38263
11990,63
11992,38738
11997,39135
11999,39135
12003,39592
12004,39740
12008,40614
12009,40644
12011,25993
12013,27503
12015,31452
12016,63
12018,20096
65043,65306
